BH15,Bournemouth,401100,91400
BH16,Bournemouth,396900,93200
BH17,Bournemouth,401800,94100
BH18,Bournemouth,400500,95500
BH19,Bournemouth,402200,79100
BH2,Bournemouth,408400,91400
BH20,Bournemouth,389700,87500
BH21,Bournemouth,401900,101500
BH22,Bournemouth,407900,100700
BH23,Bournemouth,417400,94100
BH24,Bournemouth,415100,105000
BH25,Bournemouth,424200,94800
BH3,Bournemouth,408500,92900
BH31,Bournemouth,409000,108500
BH4,Bournemouth,407200,91300
BH5,Bournemouth,411700,91800
BH6,Bournemouth,413800,92000
BH7,Bournemouth,411900,92900
BH8,Bournemouth,410500,93500
BH9,Bournemouth,409100,94500
BL0,Bolton,379200,416600
BL1,Bolton,370600,410500
BL2,Bolton,373900,410200
BL3,Bolton,371400,407700
BL4,Bolton,373500,405700
BL5,Bolton,365900,406000
BL6,Bolton,364300,410700
BL7,Bolton,372100,414900
BL8,Bolton,378400,412100
BL9,Bolton,381100,410600
BN1,Brighton,531100,106100
BN10,Brighton,541100,101500
BN11,Brighton,514400,102800
BN12,Brighton,511000,102800
BN13,Brighton,512300,104700
BN14,Brighton,514100,104900
BN15,Brighton,518000,104800
BN16,Brighton,506100,102800
BN17,Brighton,503200,102700
BN18,Brighton,500000,106500
BN2,Brighton,533600,104500
BN20,Brighton,559000,99700
BN21,Brighton,560500,99500
BN22,Brighton,561000,101300
BN23,Brighton,563000,102400
BN24,Brighton,564200,104500
BN25,Brighton,548700,99600
BN26,Brighton,556600,104800
BN27,Brighton,559300,110500
BN3,Brighton,528500,105500
BN41,Brighton,525700,106100
BN42,Brighton,524500,105700
BN43,Brighton,522100,105500
BN44,Brighton,518000,111500
BN45,Brighton,527700,111600
BN5,Brighton,521700,115600
BN6,Brighton,529800,116100
BN7,Brighton,540700,110600
BN8,Brighton,544200,114700
BN9,Brighton,544500,101600
BR1,Bromley,540600,170000
BR2,Bromley,540700,167500
BR3,Bromley,537000,169000
BR4,Bromley,538700,166000
BR5,Bromley,546400,167800
BR6,Bromley,545700,165100
BR7,Bromley,544100,170000
BR8,Bromley,551400,168800
BS1,Bristol,358800,172900
BS10,Bristol,357700,178800
BS11,Bristol,353200,177800
BS13,Bristol,357500,168300
BS14,Bristol,361000,168400
BS15,Bristol,364900,173500
BS16,Bristol,364600,176400
BS2,Bristol,359700,173600
BS20,Bristol,347800,175900
BS21,Bristol,341000,171000
BS22,Bristol,335300,162800
BS23,Bristol,332400,160900
BS24,Bristol,335100,159200
BS25,Bristol,342500,158300
BS26,Bristol,340400,153800
BS27,Bristol,346300,152800
BS28,Bristol,343200,147700
BS29,Bristol,338900,159500
BS3,Bristol,358200,171200
BS30,Bristol,367200,171900
BS31,Bristol,365800,167800
BS32,Bristol,361200,182800
BS34,Bristol,360900,180700
BS35,Bristol,362000,188800
BS36,Bristol,366300,180900
BS37,Bristol,371100,182400
BS39,Bristol,363000,158900
BS4,Bristol,361000,170800
BS40,Bristol,351900,161100
BS41,Bristol,354700,169500
BS48,Bristol,348000,169900
BS49,Bristol,343100,164900
BS5,Bristol,361800,173800
BS6,Bristol,358400,174800
BS7,Bristol,359700,176600
BS8,Bristol,356900,173400
BS9,Bristol,356600,176700
BS99,Bristol,360200,173400
BT1,Belfast,146300,529800
BT10,Belfast,142500,525600
BT11,Belfast,141700,527400
BT12,Belfast,144500,529100
BT13,Belfast,144400,530600
BT14,Belfast,144300,532300
BT15,Belfast,146300,532500
BT16,Belfast,154700,528400
BT17,Belfast,140300,525100
BT18,Belfast,153500,534100
BT19,Belfast,163500,534700
BT2,Belfast,146200,529100
BT20,Belfast,163700,535400
BT21,Belfast,171300,532800
BT22,Belfast,172200,517700
BT23,Belfast,159900,525000
BT24,Belfast,148800,509300
BT25,Belfast,133200,507800
BT26,Belfast,136800,513900
BT27,Belfast,139800,520200
BT28,Belfast,135500,521900
BT29,Belfast,129300,533100
BT3,Belfast,148000,532000
BT30,Belfast,159200,499500
BT31,Belfast,141600,494200
BT32,Belfast,124100,501600
BT33,Belfast,146200,487600
BT34,Belfast,127100,481300
BT35,Belfast,110000,483500
BT36,Belfast,145100,538500
BT37,Belfast,148200,538300
BT38,Belfast,155500,543800
BT39,Belfast,141500,546300
BT4,Belfast,150300,529900
BT40,Belfast,154700,556900
BT41,Belfast,125800,545900
BT42,Belfast,125200,559500
BT43,Belfast,126500,563400
BT44,Belfast,125900,572800
BT45,Belfast,101600,550500
BT46,Belfast,100800,562300
BT47,Belfast,66600,576800
BT48,Belfast,59500,581300
BT49,Belfast,83800,583800
BT5,Belfast,150000,528400
BT51,Belfast,101200,583700
BT52,Belfast,103500,592100
BT53,Belfast,114600,585900
BT54,Belfast,129100,597800
BT55,Belfast,100200,597400
BT56,Belfast,104200,599200
BT57,Belfast,112600,599000
BT6,Belfast,148200,527500
BT60,Belfast,97500,498500
BT61,Belfast,99800,506800
BT62,Belfast,110400,511100
BT63,Belfast,115200,509800
BT64,Belfast,115300,514900
BT65,Belfast,117000,514300
BT66,Belfast,119200,515300
BT67,Belfast,123600,518600
BT68,Belfast,85200,507600
BT69,Belfast,79100,514500
BT7,Belfast,146500,527800
BT70,Belfast,83800,524300
BT71,Belfast,95600,523300
BT74,Belfast,32000,509000
BT75,Belfast,54900,510800
BT76,Belfast,63300,515100
BT77,Belfast,68200,515600
BT78,Belfast,52800,532900
BT79,Belfast,64400,537900
BT8,Belfast,147500,523100
BT80,Belfast,93700,538100
BT81,Belfast,38400,547700
BT82,Belfast,51500,561400
BT9,Belfast,144800,526800
BT92,Belfast,44100,494600
BT93,Belfast,22600,523400
BT94,Belfast,40300,512000
CA1,Carlisle,341600,554900
CA10,Carlisle,357400,524200
CA11,Carlisle,349300,530200
CA12,Carlisle,326800,523600
CA13,Carlisle,311900,530300
CA14,Carlisle,300800,527700
CA15,Carlisle,304600,536200
CA16,Carlisle,368800,520000
CA17,Carlisle,377300,509300
CA18,Carlisle,309700,496300
CA19,Carlisle,310200,499900
CA2,Carlisle,339100,554800
CA20,Carlisle,305200,502600
CA21,Carlisle,301800,506600
CA22,Carlisle,300800,510500
CA23,Carlisle,303400,514300
CA24,Carlisle,300200,514400
CA25,Carlisle,301800,515200
CA26,Carlisle,304200,517600
CA27,Carlisle,296900,511800
CA28,Carlisle,298000,517600
CA3,Carlisle,339800,557400
CA4,Carlisle,346500,550500
CA5,Carlisle,334800,551600
CA6,Carlisle,342900,567000
CA7,Carlisle,320500,546500
CA8,Carlisle,356100,560700
CA9,Carlisle,373100,545300
CB1,Cambridge,549700,255400
CB10,Cambridge,555400,239300
CB11,Cambridge,552000,235800
CB2,Cambridge,545900,253800
CB3,Cambridge,538300,259200
CB4,Cambridge,544400,262700
CB5,Cambridge,550900,262400
CB6,Cambridge,551300,280800
CB7,Cambridge,558000,276800
CB8,Cambridge,565700,262000
CB9,Cambridge,567300,245500
CF10,Cardiff,318300,175700
CF11,Cardiff,317200,175600
CF14,Cardiff,316600,180800
CF15,Cardiff,311700,182500
CF23,Cardiff,320200,180300
CF24,Cardiff,319200,176900
CF3,Cardiff,322900,180700
CF31,Cardiff,290700,180100
CF32,Cardiff,290300,185800
CF33,Cardiff,282700,182000
CF34,Cardiff,285700,191500
CF35,Cardiff,294700,181500
CF36,Cardiff,282100,177600
CF37,Cardiff,307700,190200
CF38,Cardiff,307700,185500
CF39,Cardiff,301400,190200
CF40,Cardiff,299600,192300
CF41,Cardiff,297500,195400
CF42,Cardiff,294800,197600
CF43,Cardiff,299800,196500
CF44,Cardiff,299300,203200
CF45,Cardiff,305900,197600
CF46,Cardiff,310100,197100
CF47,Cardiff,305100,206800
CF48,Cardiff,305500,205600
CF5,Cardiff,313800,176700
CF61,Cardiff,297100,168700
CF62,Cardiff,309000,168100
CF63,Cardiff,312700,168900
CF64,Cardiff,317400,171200
CF71,Cardiff,299000,174700
CF72,Cardiff,303000,182200
CF81,Cardiff,314100,200900
CF82,Cardiff,314500,195500
CF83,Cardiff,315700,188200
CH1,Chester,339400,367600
CH2,Chester,342000,369200
CH3,Chester,345100,363600
CH4,Chester,337300,363900
CH41,Chester,331500,389100
CH42,Chester,332100,386900
CH43,Chester,329600,387900
CH44,Chester,331100,391500
CH45,Chester,330200,392900
CH46,Chester,326200,390200
CH47,Chester,322300,389500
CH48,Chester,322200,386700
CH49,Chester,326700,387700
CH5,Chester,330500,368000
CH6,Chester,323600,373200
CH60,Chester,327100,381600
CH61,Chester,326700,384000
CH62,Chester,334700,382400
CH63,Chester,332700,383600
CH64,Chester,330200,377300
CH65,Chester,339900,376000
CH66,Chester,337700,376000
CH7,Chester,324300,364200
CH8,Chester,317300,376800
CM0,Chelmsford,596200,199800
CM1,Chelmsford,569600,208000
CM11,Chelmsford,569300,194500
CM12,Chelmsford,567200,194900
CM13,Chelmsford,561900,193400
CM14,Chelmsford,558700,193600
CM15,Chelmsford,559500,196400
CM16,Chelmsford,546600,202300
CM17,Chelmsford,548000,210200
CM18,Chelmsford,545400,208500
CM19,Chelmsford,543200,208900
CM2,Chelmsford,571800,205500
CM20,Chelmsford,545200,210600
CM21,Chelmsford,548000,214800
CM22,Chelmsford,553000,220500
CM23,Chelmsford,548700,221500
CM24,Chelmsford,551800,224600
CM3,Chelmsford,578500,205500
CM4,Chelmsford,565400,200000
CM5,Chelmsford,555300,204900
CM6,Chelmsford,562900,222500
CM7,Chelmsford,574600,225200
CM8,Chelmsford,581900,215200
CM9,Chelmsford,586500,208200
CO1,Colchester,600200,225200
CO10,Colchester,586700,243400
CO11,Colchester,611600,231500
CO12,Colchester,623700,230900
CO13,Colchester,623100,220500
CO14,Colchester,625100,221900
CO15,Colchester,617600,215600
